Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary,STATE
6/23/2015,10/15/2022,Exempt,"104,328.00",710
12/18/1992,1/8/2016,Exempt,"195,201.00",710
6/8/2015,3/30/2019,Exempt,"101,556.79",710
10/26/2009,6/20/2016,Exempt,"152,850.38",710
1/22/2019,1/22/2019,Exempt,"62,338.98",710
5/10/2023,5/10/2023,Exempt,"59,771.25",710
9/24/2022,9/24/2022,Exempt,"57,331.48",710
5/18/2024,5/18/2024,Exempt,"82,158.30",710
7/13/2024,7/13/2024,Exempt,"53,577.35",710
2/27/2017,6/3/2024,Exempt,"71,415.00",710
4/20/2024,4/20/2024,Nonexempt,22.77,710
2/19/2014,8/21/2023,Exempt,"119,025.00",710
6/15/2024,6/15/2024,Exempt,"71,415.00",710
6/25/2018,6/25/2018,Exempt,"130,839.92",710
5/29/2018,10/24/2022,Exempt,"78,246.00",710
8/7/2017,9/14/2020,Exempt,"99,902.22",710
5/28/2019,5/28/2019,Exempt,"110,292.04",710
10/12/2019,1/17/2023,Exempt,"126,063.00",710
6/15/2009,2/2/2015,Exempt,"115,249.84",710
4/30/2018,4/30/2018,Exempt,"152,850.38",710
1/17/2023,1/17/2023,Exempt,"73,899.00",710
10/15/2018,8/30/2021,Exempt,"76,395.42",710
5/22/2017,5/22/2017,Exempt,"179,419.32",710
2/24/2020,2/24/2020,Exempt,"84,623.05",710
11/4/2023,11/4/2023,Exempt,"103,500.00",710
5/13/2023,5/13/2023,Nonexempt,"52,164.00",710
2/3/1992,7/20/2019,Exempt,"104,328.00",710
6/3/2024,8/24/2024,Nonexempt,17.6,710
12/30/2023,12/30/2023,Nonexempt,"46,588.80",710
9/24/2022,9/24/2022,Exempt,"51,247.87",710
4/20/2015,4/18/2022,Exempt,"143,777.03",710
11/4/2023,11/4/2023,Exempt,"67,275.00",710
7/27/2024,7/27/2024,Exempt,"80,000.00",710
5/24/1999,9/16/2016,Exempt,"105,475.91",710
6/15/2024,6/15/2024,Exempt,"87,975.00",710
6/27/2016,8/14/2023,Exempt,"94,907.10",710
12/14/2020,9/23/2023,Exempt,"65,205.00",710
9/18/2023,9/18/2023,Nonexempt,"52,164.00",710
5/23/2014,3/14/2022,Exempt,"99,845.16",710
12/14/2015,8/14/2023,Exempt,"72,812.25",710
3/9/2020,3/9/2020,Exempt,"76,395.81",710
10/4/2021,10/4/2021,Exempt,"79,876.13",710
6/5/2021,9/23/2023,Exempt,"104,328.00",710
1/2/2019,1/2/2019,Nonexempt,"52,164.00",710
3/14/2022,3/14/2022,Exempt,"71,888.51",710
7/1/2023,7/1/2023,Exempt,"67,275.00",710
6/8/2019,6/8/2019,Nonexempt,"52,164.00",710
8/1/2022,8/1/2022,Exempt,"83,679.75",710
10/19/2019,10/19/2019,Exempt,"84,623.05",710
6/1/2007,8/27/2022,Exempt,"104,328.00",710
1/21/2020,1/21/2020,Nonexempt,"52,164.00",710
1/1/2014,1/1/2014,Exempt,"60,840.24",710
6/22/2019,12/18/2023,Exempt,"67,275.00",710
6/1/2024,6/1/2024,Exempt,"96,255.00",710
6/21/2022,6/21/2022,Exempt,"71,888.51",710
5/30/2017,6/10/2024,Exempt,"87,975.00",710
10/31/2022,10/31/2022,Exempt,"70,638.75",710
11/4/2023,11/4/2023,Exempt,"51,246.99",710
9/21/2011,8/27/2012,Exempt,"59,941.33",710
4/25/2022,4/25/2022,Exempt,"71,888.51",710
12/27/2016,6/7/2021,Exempt,"68,594.82",710
11/13/2018,10/10/2022,Exempt,"65,205.00",710
9/28/2019,9/28/2019,Nonexempt,25.23,710
1/29/2022,1/29/2022,Nonexempt,25.23,710
6/5/1979,8/24/2024,Nonexempt,35.54,710
9/29/2003,7/12/2006,Nonexempt,32.33,710
12/8/2014,12/8/2014,Nonexempt,27.91,710
8/17/2019,8/17/2019,Nonexempt,25.23,710
8/24/2024,8/24/2024,Nonexempt,22.31,710
8/23/2008,5/20/2023,Nonexempt,29.59,710
12/22/1975,10/10/2020,Exempt,"109,843.96",710
7/7/1986,5/15/1996,Exempt,"157,015.71",710
8/24/2024,8/24/2024,Nonexempt,22.31,710
5/21/2022,5/21/2022,Nonexempt,25.23,710
6/17/2009,3/12/2022,Nonexempt,25.23,710
11/28/2016,5/25/2019,Nonexempt,27.15,710
10/29/2021,9/24/2022,Nonexempt,27.68,710
9/21/2024,9/21/2024,Nonexempt,21.41,710
11/23/2001,11/23/2001,Exempt,"79,853.42",710
10/23/2007,10/23/2007,Nonexempt,33.29,710
7/23/2015,7/23/2015,Nonexempt,31.6,710
5/19/1982,1/8/2014,Nonexempt,39.97,710
8/23/2014,8/23/2014,Nonexempt,34.86,710
12/16/1977,5/12/2018,Exempt,32.79,710
7/8/2006,5/21/2015,Nonexempt,32.33,710
1/8/2016,1/8/2016,Nonexempt,27.35,710
5/15/2006,5/12/2015,Nonexempt,27.91,710
8/23/2005,8/23/2005,Nonexempt,30.2,710
12/8/2015,12/8/2015,Exempt,"94,727.55",710
7/6/2019,7/6/2019,Nonexempt,25.23,710
10/23/2004,10/23/2004,Nonexempt,36.61,710
2/25/2023,2/25/2023,Nonexempt,24.62,710
9/28/2019,9/28/2019,Nonexempt,25.23,710
1/26/2004,2/16/2019,Nonexempt,28.23,710
4/8/2008,4/8/2008,Nonexempt,33.29,710
7/8/2007,6/23/2010,Nonexempt,30.04,710
2/23/1998,6/23/2007,Exempt,"109,843.96",710
4/20/2024,4/20/2024,Nonexempt,22.38,710
11/8/2015,11/8/2015,Nonexempt,27.91,710
2/16/1999,8/30/1999,Exempt,"91,608.64",710
7/13/2024,7/13/2024,Nonexempt,22.31,710
5/8/2016,5/8/2016,Nonexempt,30.18,710
8/23/1998,9/28/2019,Nonexempt,27.91,710
10/8/2022,3/23/2024,Nonexempt,25.23,710
9/1/1982,2/1/2020,Nonexempt,26.45,710
5/11/2012,7/8/2013,Nonexempt,32.39,710
4/8/2015,4/8/2015,Nonexempt,27.91,710
1/1/1994,7/15/2023,Nonexempt,24.59,710
10/21/2023,10/21/2023,Nonexempt,31.33,710
7/23/2007,7/23/2007,Nonexempt,39.97,710
11/23/2002,11/23/2002,Nonexempt,34.79,710
7/8/2008,7/8/2008,Nonexempt,39.97,710
2/25/2023,2/25/2023,Nonexempt,24.62,710
10/10/2020,11/18/2023,Nonexempt,25.23,710
9/23/2009,8/13/2022,Nonexempt,21.66,710
11/24/2018,11/24/2018,Nonexempt,26.49,710
11/19/2022,11/19/2022,Nonexempt,24.62,710
11/23/2008,11/23/2008,Nonexempt,33.29,710
8/13/2022,8/13/2022,Exempt,"96,731.62",710
7/2/2012,7/8/2013,Nonexempt,30.04,710
5/8/2014,5/8/2014,Nonexempt,27.91,710
7/13/2024,7/13/2024,Nonexempt,22.31,710
5/8/2008,10/12/2017,Nonexempt,30.04,710
10/13/2018,10/13/2018,Nonexempt,30.94,710
4/8/2015,4/8/2015,Nonexempt,30.94,710
10/10/2020,4/23/2022,Nonexempt,25.23,710
7/26/1971,1/15/2015,Nonexempt,24.84,710
11/23/2007,11/23/2007,Exempt,"94,313.34",710
6/20/1994,5/15/1996,Exempt,"133,019.30",710
10/28/1996,10/28/1996,Nonexempt,37.45,710
11/15/1995,5/15/1996,Exempt,"112,590.06",710
3/12/2022,3/12/2022,Nonexempt,25.23,710
4/10/2021,4/10/2021,Exempt,"76,753.53",710
12/8/2013,8/26/2023,Nonexempt,28.51,710
2/1/1988,4/22/2017,Nonexempt,29.43,710
9/29/2003,9/29/2003,Nonexempt,36.61,710
7/13/2024,7/13/2024,Nonexempt,24.62,710
8/23/2016,8/23/2016,Nonexempt,27.91,710
7/24/1995,5/15/1996,Nonexempt,32.16,710
1/8/2015,1/8/2015,Nonexempt,27.91,710
1/8/2004,1/8/2004,Exempt,"104,613.08",710
7/23/2014,7/23/2014,Nonexempt,34.01,710
7/8/2015,7/8/2015,Nonexempt,27.91,710
1/8/2004,8/23/2015,Nonexempt,39.4,710
9/7/2021,4/20/2024,Nonexempt,24.62,710
12/9/2017,12/9/2017,Nonexempt,27.23,710
10/30/2021,10/30/2021,Nonexempt,21.26,710
12/8/2000,12/8/2000,Nonexempt,39.4,710
10/30/2021,10/30/2021,Nonexempt,25.23,710
9/15/2018,9/15/2018,Nonexempt,27.23,710
11/19/2022,11/19/2022,Nonexempt,24.62,710
8/13/1996,9/25/2021,Nonexempt,20.65,710
8/23/2016,8/23/2016,Nonexempt,31.6,710
7/8/2003,7/8/2003,Nonexempt,34.13,710
10/8/1980,8/18/2018,Nonexempt,32.33,710
8/24/2024,8/24/2024,Nonexempt,22.31,710
5/26/2018,5/26/2018,Nonexempt,27.23,710
5/8/2008,5/8/2008,Nonexempt,36.61,710
8/28/2021,8/28/2021,Nonexempt,25.23,710
7/15/2023,7/15/2023,Nonexempt,24.01,710
9/4/1980,7/8/2017,Nonexempt,24.92,710
5/21/2022,5/21/2022,Nonexempt,25.23,710
1/16/2021,1/16/2021,Nonexempt,25.23,710
6/8/2013,6/8/2013,Nonexempt,27.91,710
8/23/2015,8/23/2015,Nonexempt,30.94,710
1/29/2022,1/29/2022,Nonexempt,25.23,710
10/16/1972,9/15/2018,Nonexempt,25.23,710
2/6/2017,2/6/2017,Nonexempt,27.91,710
8/18/2018,8/18/2018,Nonexempt,27.23,710
8/17/2019,8/17/2019,Nonexempt,25.23,710
1/22/2001,1/22/2001,Nonexempt,40.38,710
5/20/2023,5/20/2023,Nonexempt,22.43,710
9/23/2023,9/23/2023,Nonexempt,24.01,710
11/8/2002,1/19/2019,Nonexempt,34.13,710
9/21/2024,9/21/2024,Nonexempt,19.82,710
12/4/2021,12/4/2021,Nonexempt,25.23,710
8/23/2012,8/23/2012,Nonexempt,27.91,710
5/8/2005,5/8/2005,Nonexempt,39.4,710
6/8/2007,6/8/2007,Nonexempt,33.29,710
2/8/2013,2/8/2013,Nonexempt,22.84,710
5/21/2022,5/21/2022,Nonexempt,25.23,710
12/4/2021,12/4/2021,Nonexempt,25.23,710
11/8/2014,11/8/2014,Nonexempt,22.27,710
8/23/2013,8/23/2013,Nonexempt,27.91,710
9/5/2002,12/8/2007,Nonexempt,36.61,710
4/20/2024,4/20/2024,Nonexempt,22.38,710
8/26/2023,9/23/2023,Nonexempt,24.01,710
12/5/2020,2/7/2024,Nonexempt,25.23,710
5/8/2012,3/9/2017,Nonexempt,31.6,710
9/8/2000,12/2/2023,Nonexempt,24.62,710
8/23/1998,9/28/2019,Nonexempt,27.91,710
4/20/2024,4/20/2024,Nonexempt,25.23,710
12/8/2005,12/8/2005,Nonexempt,34.13,710
9/23/2009,9/23/2009,Nonexempt,33.29,710
7/2/2012,2/1/2020,Nonexempt,31.71,710
7/8/2015,7/8/2015,Nonexempt,22.27,710
9/3/2002,1/8/2016,Nonexempt,32.39,710
12/5/2020,12/5/2020,Nonexempt,25.23,710
1/18/2020,1/18/2020,Nonexempt,25.23,710
7/16/2022,7/16/2022,Nonexempt,25.23,710
9/1/1988,5/8/2010,Nonexempt,24.36,710
9/3/1985,2/1/2017,Exempt,"205,970.38",710
1/29/2022,1/29/2022,Nonexempt,25.23,710
3/8/2006,3/8/2006,Nonexempt,32.33,710
5/23/1998,5/23/1998,Nonexempt,32.45,710
3/23/2024,3/23/2024,Nonexempt,22.38,710
3/13/2017,3/13/2017,Nonexempt,27.91,710
11/24/2018,11/24/2018,Nonexempt,26.49,710
9/23/2023,9/23/2023,Nonexempt,24.01,710
9/21/2024,9/21/2024,Nonexempt,22.31,710
5/4/2016,5/25/2019,Nonexempt,25.59,710
11/14/1985,1/19/2019,Exempt,"105,466.74",710
10/8/2002,9/8/2016,Nonexempt,23.89,710
1/16/1990,4/20/2024,Nonexempt,30.69,710
7/23/2010,7/8/2013,Nonexempt,31.71,710
11/9/2005,11/9/2005,Nonexempt,34.13,710
10/30/2021,10/30/2021,Nonexempt,25.23,710
1/23/2009,1/23/2009,Nonexempt,33.29,710
3/23/2014,3/23/2014,Nonexempt,30.94,710
10/23/2003,10/23/2003,Nonexempt,36.61,710
8/27/2022,8/27/2022,Nonexempt,25.23,710
9/3/2013,9/3/2013,Nonexempt,27.91,710
1/27/1992,2/25/2023,Nonexempt,30.69,710
10/8/1994,6/23/2008,Nonexempt,42.4,710
4/8/2023,4/8/2023,Nonexempt,26.49,710
2/25/2023,2/25/2023,Nonexempt,24.62,710
4/20/2024,4/20/2024,Nonexempt,25.23,710
8/23/2016,8/23/2016,Nonexempt,27.91,710
2/23/2016,2/23/2016,Nonexempt,22.92,710
7/15/2023,7/15/2023,Nonexempt,21.4,710
8/8/2006,8/8/2006,Nonexempt,33.29,710
3/23/1999,3/23/1999,Nonexempt,36.73,710
8/8/1997,8/8/1997,Nonexempt,45.16,710
8/1/1995,5/15/1996,Nonexempt,39.53,710
8/21/1978,9/25/2021,Nonexempt,20.65,710
11/27/2006,11/27/2006,Nonexempt,33.29,710
7/10/1995,8/24/2024,Nonexempt,30.69,710
9/25/2021,9/25/2021,Nonexempt,25.23,710
4/14/2018,2/16/2019,Nonexempt,27.23,710
8/8/1998,7/23/2008,Nonexempt,46.29,710
9/29/2003,11/28/2005,Exempt,"117,709.31",710
5/23/1996,8/26/2023,Nonexempt,29.22,710
11/19/2022,11/19/2022,Nonexempt,27.07,710
7/13/2024,7/13/2024,Nonexempt,22.31,710
4/8/2004,1/19/2019,Nonexempt,31.6,710
12/2/2023,12/2/2023,Nonexempt,24.01,710
12/4/2021,12/4/2021,Nonexempt,25.23,710
3/8/2013,3/8/2013,Nonexempt,27.91,710
9/29/1980,11/19/2022,Nonexempt,33.03,710
5/20/2023,5/20/2023,Nonexempt,20.65,710
7/8/2010,2/1/2020,Nonexempt,31.71,710
10/28/1996,6/3/2023,Nonexempt,25.23,710
1/8/2007,1/8/2007,Nonexempt,33.29,710
10/30/2021,10/30/2021,Nonexempt,23.79,710
9/3/2002,8/28/2021,Exempt,"73,223.59",710
7/11/1989,12/8/2007,Nonexempt,40.29,710
10/28/1996,12/5/2016,Nonexempt,26.49,710
7/8/1994,1/23/1997,Nonexempt,46.29,710
7/16/2022,7/16/2022,Nonexempt,25.23,710
4/13/2019,4/13/2019,Nonexempt,26.49,710
4/20/2024,4/20/2024,Nonexempt,22.38,710
7/21/2018,7/21/2018,Nonexempt,27.23,710
2/23/1998,2/23/1998,Nonexempt,36.73,710
1/14/2023,1/14/2023,Nonexempt,27.25,710
10/12/1971,8/2/2004,Exempt,"85,915.96",710
11/8/2016,2/24/2024,Nonexempt,28.33,710
1/27/2024,1/27/2024,Nonexempt,22.38,710
4/20/2024,4/20/2024,Nonexempt,27.15,710
4/8/2023,4/8/2023,Nonexempt,24.01,710
3/12/2022,3/12/2022,Nonexempt,25.23,710
2/13/2017,1/18/2020,Nonexempt,25.23,710
10/23/2011,10/23/2011,Nonexempt,31.71,710
8/8/2011,8/8/2011,Nonexempt,31.71,710
6/23/2018,6/23/2018,Nonexempt,27.23,710
3/31/2018,3/31/2018,Nonexempt,27.23,710
5/6/1996,8/24/2024,Nonexempt,25.23,710
2/23/2009,2/23/2009,Nonexempt,48.61,710
8/1/2020,11/18/2023,Nonexempt,25.23,710
2/25/2023,2/25/2023,Nonexempt,26.59,710
1/29/2022,1/29/2022,Nonexempt,25.23,710
9/23/2006,6/24/2017,Nonexempt,37.52,710
7/23/2009,7/23/2009,Nonexempt,33.29,710
8/24/2024,8/24/2024,Nonexempt,25.23,710
3/13/2021,3/13/2021,Nonexempt,25.23,710
2/8/2003,2/8/2003,Nonexempt,24.49,710
7/22/2017,7/22/2017,Nonexempt,30.94,710
12/18/1998,10/8/2022,Nonexempt,21.26,710
6/1/2024,6/1/2024,Nonexempt,22.38,710
1/1/1978,4/6/2024,Nonexempt,24.49,710
1/7/1972,1/15/2015,Nonexempt,24.84,710
10/23/2007,10/23/2007,Nonexempt,30.04,710
1/8/1999,1/8/1999,Nonexempt,36.73,710
2/1/1988,8/21/2017,Nonexempt,23.43,710
7/16/2022,7/16/2022,Nonexempt,25.23,710
11/24/2018,11/24/2018,Nonexempt,26.49,710
8/28/2021,8/28/2021,Nonexempt,25.23,710
3/23/2007,3/23/2007,Nonexempt,36.61,710
10/8/2010,10/8/2010,Nonexempt,31.71,710
10/23/2006,10/23/2006,Nonexempt,33.29,710
4/23/1997,8/1/1997,Nonexempt,27.1,710
12/9/2017,12/9/2017,Nonexempt,27.23,710
5/8/2012,5/8/2012,Nonexempt,36.61,710
1/20/2018,1/20/2018,Nonexempt,27.23,710
12/4/2021,12/4/2021,Nonexempt,25.23,710
4/8/2023,4/8/2023,Nonexempt,24.62,710
8/28/2021,8/28/2021,Nonexempt,27.15,710
8/23/2013,2/23/2015,Nonexempt,27.91,710
12/2/2023,12/2/2023,Nonexempt,29.89,710
6/23/2014,11/9/2019,Nonexempt,27.91,710
8/23/2015,8/23/2015,Nonexempt,27.91,710
6/8/2013,6/8/2013,Nonexempt,36.61,710
8/23/2010,8/23/2010,Nonexempt,31.71,710
4/8/2009,7/1/2020,Nonexempt,33.99,710
10/23/2006,2/8/2011,Nonexempt,32.39,710
2/23/2016,1/14/2023,Nonexempt,27.15,710
7/23/2011,6/1/2019,Exempt,"94,830.94",710
3/28/2005,2/25/2023,Nonexempt,29.2,710
6/28/1988,10/23/2009,Nonexempt,23.43,710
5/25/2019,1/14/2023,Nonexempt,26.92,710
6/24/2017,7/13/2024,Nonexempt,27.15,710
6/23/2006,6/23/2006,Nonexempt,33.29,710
6/21/2017,12/2/2023,Nonexempt,24.01,710
8/23/2002,8/23/2002,Nonexempt,34.13,710
6/1/2024,6/1/2024,Nonexempt,22.38,710
4/28/2018,4/28/2018,Nonexempt,27.23,710
3/2/1970,5/30/2006,Nonexempt,26.33,710
1/8/2012,1/8/2012,Nonexempt,38.99,710
6/23/2018,6/23/2018,Nonexempt,27.23,710
3/12/2022,3/12/2022,Nonexempt,25.23,710
11/8/2016,11/8/2016,Nonexempt,27.91,710
9/23/2009,9/23/2009,Nonexempt,34.01,710
5/8/2008,5/8/2008,Nonexempt,33.29,710
10/30/2021,10/30/2021,Nonexempt,25.23,710
12/21/2020,4/10/2021,Nonexempt,25.23,710
4/20/2024,4/20/2024,Nonexempt,24.62,710
3/8/2008,3/8/2008,Nonexempt,33.29,710
11/9/2019,11/9/2019,Nonexempt,25.23,710
1/22/2001,6/23/2010,Nonexempt,36.73,710
11/25/2017,11/25/2017,Nonexempt,27.23,710
11/8/2013,11/8/2013,Nonexempt,36.01,710
7/8/2014,7/2/2018,Nonexempt,27.91,710
9/23/2014,9/23/2014,Nonexempt,32.39,710
3/8/2008,6/23/2010,Nonexempt,33.29,710
7/15/2023,7/15/2023,Nonexempt,24.01,710
2/6/1989,7/6/2019,Nonexempt,28.51,710
8/25/1997,1/19/2019,Nonexempt,21.91,710
7/8/2008,7/8/2008,Nonexempt,37.52,710
8/17/2019,8/17/2019,Nonexempt,28.51,710
7/21/2018,7/21/2018,Nonexempt,27.23,710
10/19/1985,7/23/2011,Nonexempt,31.71,710
4/13/2019,4/13/2019,Nonexempt,26.49,710
11/13/1993,5/15/1996,Exempt,"123,595.17",710
4/20/2024,4/20/2024,Nonexempt,25.23,710
2/23/1988,1/4/2021,Nonexempt,26.16,710
11/19/2022,11/19/2022,Nonexempt,24.62,710
7/23/2008,6/23/2010,Nonexempt,34.01,710
7/3/2021,4/23/2022,Nonexempt,25.23,710
5/8/1999,5/8/1999,Nonexempt,45.16,710
7/21/2018,7/21/2018,Nonexempt,31.54,710
7/2/2012,6/1/2019,Nonexempt,38.99,710
5/8/2006,5/8/2006,Nonexempt,39.4,710
12/9/2017,12/9/2017,Nonexempt,27.23,710
11/20/2000,8/23/2009,Exempt,"92,517.80",710
5/21/2022,5/21/2022,Nonexempt,25.23,710
3/12/2022,3/12/2022,Nonexempt,25.23,710
11/9/2005,11/9/2005,Nonexempt,32.33,710
9/8/2002,10/8/2003,Nonexempt,40.38,710
11/8/2002,11/8/2002,Nonexempt,34.13,710
7/23/2005,7/23/2005,Nonexempt,41.96,710
1/27/2024,1/27/2024,Nonexempt,22.38,710
7/15/2023,7/15/2023,Nonexempt,24.01,710
5/23/2006,5/6/2023,Nonexempt,30.57,710
1/2/1996,3/23/2014,Nonexempt,31.6,710
8/27/2022,8/27/2022,Nonexempt,25.23,710
12/9/2017,12/9/2017,Nonexempt,27.23,710
8/8/2008,8/8/2008,Nonexempt,22.79,710
