OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_ht,hh_type1_h,hh_type1_t
206102,51,710,6000,54400.80145,53133.81661,2.77,1.62689,1.51844,0.19558,91.26761,4,2,50.2484,29.0652,21.1832
206103,51,710,3501,82987.48186,26822.57942,3.11,1.40704,0.73881,0.50625,50.67265,4,2,47.6751,29.10698,18.56813
206204,51,710,1100,23302.11381,33505.00084,3.36,0.93818,1.48538,0.74556,55.02959,4,2,46.22502,27.90515,18.31988
206205,51,710,4200,45705.77658,13466.18788,2.37,0.82766,0.1725,0.947,19.08127,4,2,30.12896,14.14369,15.98527
206206,51,710,5601,63698.66487,43295.30069,4.43,1.27895,1.55517,0.24823,96.43653,4,2,49.64793,27.85546,21.79247
206207,51,710,500,56725.98968,28195.63481,2.43,1.24448,1.02449,0.36719,65.97633,4,2,46.66485,26.09862,20.56622
206208,51,710,4001,108608.2565,63065.71225,2.51,1.12821,1.31507,0.48344,10.09934,4,2,46.46828,30.40784,16.06044
206209,51,710,4300,43348.65673,12126.93665,1.95,1.06723,0.6867,0.94106,11.70018,4,2,38.89159,23.16309,15.7285
206210,51,710,2800,128799.4179,37262.91282,1.5,1.22498,1.3882,0.2451,46.37306,4,2,49.80271,30.16545,19.63726
206222,51,710,6605,68313.41572,39097.33374,2.86,1.23477,1.73823,0.50159,47.18101,4,2,49.33885,29.47211,19.86674
206223,51,710,201,80732.77771,36932.0629,2.21,1.29735,1.3145,0.70521,31.14543,4,2,46.30978,28.2515,18.05828
206224,51,710,3300,46654.05509,35347.6863,3.66,1.19695,1.15183,0.34388,84.01559,4,2,47.83876,27.97397,19.86479
206225,51,710,3700,68674.73556,24766.28197,1.67,1.35359,0.98901,0.72293,14.68254,4,2,41.30468,25.57202,15.73265
206539,51,710,6100,46074.54827,35584.28004,2.7,1.57793,1.48353,0.31091,75.03374,4,2,46.57306,26.54768,20.02538
206540,51,710,6602,61097.93085,61784.909,3.32,1.1874,2.07809,0.13256,93.24138,4,2,51.57055,29.6888,21.88176
206541,51,710,5903,68210.28526,19354.35289,1.89,1.78878,0.82926,0.30945,81.73653,4,2,49.59674,29.39319,20.20355
206542,51,710,4800,64534,31683,3.34,0.525,0.525,1,15.22727,4,2,26.7611,10.6252,16.1359
206543,51,710,5702,49012.7896,36582.06964,3.2,1.28825,1.50632,0.23665,94.57831,4,2,50.06538,28.43146,21.63392
206544,51,710,202,84274.69835,48778.2919,3.7,1.40813,1.35387,0.51418,88.01262,4,2,47.2223,26.47229,20.75001
206545,51,710,1300,73692.3272,29921.87615,2.13,1.57295,1.62025,0.84211,18.00643,4,2,40.7306,24.06887,16.66173
206546,51,710,3100,46967.07455,25045.39893,1.49,0.86884,0.73314,0.39815,81.48148,4,2,45.84218,26.1423,19.69988
206547,51,710,5902,50226.15587,31512.01967,3.17,1.03933,0.81403,0.2907,89.8263,4,2,48.58172,27.50833,21.0734
206548,51,710,6602,59550.76087,60220.34281,2.54,1.06166,1.85802,0.04815,100,4,2,53.20034,30.17812,23.02222
206549,51,710,500,62825.56207,31227.4253,2.7,1.32,1.08666,0.47742,57.81513,4,2,45.92098,25.91478,20.0062
206665,51,710,1400,99732.64734,23249.26606,1.84,1.28294,0.62334,0.17628,92.35127,4,2,50.33642,28.43636,21.90006
