Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,SUMMARY,Unnamed: 6,Unnamed: 7,Unnamed: 8
Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Residential Real Estate Value Score,Affordable Housing Score,Personal Income Score
51740211500,Portsmouth city,Virginia,2023,37,33,62,23
51740212801,Portsmouth city,Virginia,2017,44,66,9,58
51740212801,Portsmouth city,Virginia,2018,44,61,16,20
51740212801,Portsmouth city,Virginia,2019,42,62,22,15
51740212801,Portsmouth city,Virginia,2020,48,48,29,14
51740212801,Portsmouth city,Virginia,2021,45,19,10,15
51740212801,Portsmouth city,Virginia,2022,37,17,11,15
51740212801,Portsmouth city,Virginia,2023,40,18,8,17
51710006400,Norfolk city,Virginia,2017,38,14,32,40
51710006400,Norfolk city,Virginia,2018,40,15,27,52
51710006400,Norfolk city,Virginia,2019,36,16,23,62
51710006400,Norfolk city,Virginia,2020,48,16,15,59
51710006400,Norfolk city,Virginia,2021,44,31,11,55
51710006400,Norfolk city,Virginia,2022,40,40,34,44
51710006400,Norfolk city,Virginia,2023,48,50,44,48
51710003600,Norfolk city,Virginia,2017,58,9,55,69
51710003600,Norfolk city,Virginia,2018,58,7,49,60
51710003600,Norfolk city,Virginia,2019,60,8,45,53
51710003600,Norfolk city,Virginia,2020,55,13,48,40
51710003600,Norfolk city,Virginia,2021,58,15,32,36
51710003600,Norfolk city,Virginia,2022,58,19,41,32
51710003600,Norfolk city,Virginia,2023,54,,22,36
51710006100,Norfolk city,Virginia,2017,52,35,20,79
51710006100,Norfolk city,Virginia,2018,54,32,15,80
51710006100,Norfolk city,Virginia,2019,51,32,16,80
51710006100,Norfolk city,Virginia,2020,52,34,18,80
51710006100,Norfolk city,Virginia,2021,52,56,60,77
51710006100,Norfolk city,Virginia,2022,54,64,65,46
51710006100,Norfolk city,Virginia,2023,56,67,82,28
51710004900,Norfolk city,Virginia,2017,56,33,45,32
51710004900,Norfolk city,Virginia,2018,54,45,45,35
51710004900,Norfolk city,Virginia,2019,56,30,46,39
51710004900,Norfolk city,Virginia,2020,59,42,51,64
51710004900,Norfolk city,Virginia,2021,62,72,66,65
51710004900,Norfolk city,Virginia,2022,62,57,71,69
51710004900,Norfolk city,Virginia,2023,55,40,74,53
51710001700,Norfolk city,Virginia,2017,42,46,65,47
51710001700,Norfolk city,Virginia,2018,35,39,58,61
51710001700,Norfolk city,Virginia,2019,36,21,50,57
51710001700,Norfolk city,Virginia,2020,30,13,48,60
51710001700,Norfolk city,Virginia,2021,41,19,82,55
51710001700,Norfolk city,Virginia,2022,46,44,92,82
51710001700,Norfolk city,Virginia,2023,47,38,65,86
51710000201,Norfolk city,Virginia,2017,34,38,40,22
51710000201,Norfolk city,Virginia,2018,39,47,30,68
51710000201,Norfolk city,Virginia,2019,40,52,29,79
51710000201,Norfolk city,Virginia,2020,44,46,21,79
51710000201,Norfolk city,Virginia,2021,48,57,23,73
51710000201,Norfolk city,Virginia,2022,39,59,29,55
51710000201,Norfolk city,Virginia,2023,38,55,24,28
51710006502,Norfolk city,Virginia,2017,44,87,67,39
51710006502,Norfolk city,Virginia,2018,47,86,71,39
51710006502,Norfolk city,Virginia,2019,52,75,66,43
51710006502,Norfolk city,Virginia,2020,48,69,66,65
51710006502,Norfolk city,Virginia,2021,51,78,23,77
51710006502,Norfolk city,Virginia,2022,50,53,15,82
51710006502,Norfolk city,Virginia,2023,51,58,16,78
51740211900,Portsmouth city,Virginia,2017,32,9,8,23
51740211900,Portsmouth city,Virginia,2018,24,8,6,10
51740211900,Portsmouth city,Virginia,2019,23,6,18,10
51740211900,Portsmouth city,Virginia,2020,32,6,31,11
51740211900,Portsmouth city,Virginia,2021,24,7,39,14
51740211900,Portsmouth city,Virginia,2022,32,6,29,24
51740211900,Portsmouth city,Virginia,2023,30,6,7,56
51710004700,Norfolk city,Virginia,2017,47,69,19,63
51710004700,Norfolk city,Virginia,2018,42,69,27,62
51710004700,Norfolk city,Virginia,2019,38,,37,31
51710004700,Norfolk city,Virginia,2020,26,,25,24
51710004700,Norfolk city,Virginia,2021,24,,,5
51710004700,Norfolk city,Virginia,2022,24,,,8
51710004700,Norfolk city,Virginia,2023,34,,,3
51710005701,Norfolk city,Virginia,2017,37,40,44,62
51710005701,Norfolk city,Virginia,2018,43,56,46,71
51710005701,Norfolk city,Virginia,2019,42,57,45,71
51710005701,Norfolk city,Virginia,2020,48,63,40,72
51710005701,Norfolk city,Virginia,2021,42,24,31,47
51710005701,Norfolk city,Virginia,2022,38,21,30,19
51710005701,Norfolk city,Virginia,2023,43,27,20,8
51710002700,Norfolk city,Virginia,2017,36,15,18,40
51710002700,Norfolk city,Virginia,2018,38,10,29,35
51710002700,Norfolk city,Virginia,2019,44,10,50,51
51710002700,Norfolk city,Virginia,2020,46,9,68,41
51710002700,Norfolk city,Virginia,2021,42,11,46,38
51710002700,Norfolk city,Virginia,2022,38,13,13,25
51710002700,Norfolk city,Virginia,2023,35,,6,46
51710002900,Norfolk city,Virginia,2017,45,11,33,32
51710002900,Norfolk city,Virginia,2018,42,10,37,20
51710002900,Norfolk city,Virginia,2019,42,7,38,8
51710002900,Norfolk city,Virginia,2020,43,7,41,11
51710002900,Norfolk city,Virginia,2021,46,44,56,19
51710002900,Norfolk city,Virginia,2022,54,57,66,65
51710002900,Norfolk city,Virginia,2023,51,68,58,70
51710001100,Norfolk city,Virginia,2017,43,52,50,20
51710001100,Norfolk city,Virginia,2018,36,37,55,10
51710001100,Norfolk city,Virginia,2019,38,69,48,13
51710001100,Norfolk city,Virginia,2020,39,69,38,14
51710001100,Norfolk city,Virginia,2021,35,,19,58
51710001100,Norfolk city,Virginia,2022,38,,20,72
